date,open,high,low,close,adj_close,volume
1/2/2019,59.93,61.91,59.310001,61.52,59.86005,1296400
1/3/2019,60.299999,60.299999,57.279999,58.119999,56.551785,2421400
1/4/2019,58.950001,60.650002,58.669998,60,58.381065,2309900
1/7/2019,60.299999,60.849998,59.57,60.119999,58.497826,1552300
1/8/2019,61.029999,61.299999,60.240002,60.650002,59.013531,1128000
1/9/2019,60.59,62.619999,60.419998,62.18,60.502247,1345900
1/10/2019,61.400002,63.490002,59.470001,63.400002,61.689327,1694100
1/11/2019,63,64.370003,62.700001,64.139999,62.409355,1370200
1/14/2019,63.389999,64.980003,62.639999,64.360001,62.623421,1986000
1/15/2019,64.809998,65.800003,63.880001,64.279999,62.545582,1308200
1/16/2019,65.440002,65.839996,64.860001,64.900002,63.148849,1261400
1/17/2019,64.849998,65.339996,64.129997,64.419998,62.681805,1404900
1/18/2019,64.839996,64.970001,64.18,64.860001,63.109936,1569800
1/22/2019,64.790001,65.139999,63.59,63.959999,62.234219,1094000
1/23/2019,64.32,64.699997,63.18,63.709999,61.990959,1121100
1/24/2019,65.720001,66.599998,65.379997,65.779999,64.005104,1984600
1/25/2019,64.239998,64.93,62.52,63.48,61.767166,3485700
1/28/2019,63.009998,65.300003,63.009998,64.529999,62.788834,1627400
1/29/2019,64.5,64.989998,63.77,64.559998,62.81802,1480900
1/30/2019,64.82,65.43,63.860001,64.660004,62.915329,1601700
1/31/2019,64.489998,64.709999,63.200001,63.950001,62.224483,1650100
2/1/2019,64.169998,65.199997,63.560001,64.360001,62.623421,1105200
2/4/2019,64.639999,64.809998,63.450001,64.480003,62.740189,1036600
2/5/2019,64.599998,65.230003,64.360001,64.739998,62.993164,975800
2/6/2019,64.349998,64.82,63.849998,64.82,63.071011,909100
2/7/2019,64.660004,65.290001,64.419998,65.230003,63.469952,958400
2/8/2019,64.699997,65.279999,64.099998,65.269997,63.508865,723900
2/11/2019,65.440002,66.459999,65.400002,66.300003,64.51107,1050300
2/12/2019,66.599998,67.639999,66.300003,66.690002,64.890556,1588100
2/13/2019,66.949997,67.470001,66.559998,66.699997,64.900284,868600
2/14/2019,66.410004,67.07,65.68,66.57,64.773788,741500
2/15/2019,66.919998,67.120003,66.089996,66.32,64.871605,837800
2/19/2019,65.860001,66.169998,64.529999,64.559998,63.15004,2073300
2/20/2019,63.75,64.400002,63.240002,63.34,61.956684,2483400
2/21/2019,63.439999,64.040001,62.509998,62.860001,61.487167,1524900
2/22/2019,62.860001,63.09,62.110001,62.400002,61.037216,1617800
2/25/2019,62.799999,63.380001,62.560001,62.75,61.379574,1123200
2/26/2019,62.740002,63.560001,62.650002,62.939999,61.565422,969600
2/27/2019,62.599998,62.689999,61.209999,61.98,60.626389,1523300
2/28/2019,61.98,62.130001,60.970001,61.700001,60.352505,1158500
3/1/2019,61.860001,62.02,60.27,61.310001,59.971024,1952600
3/4/2019,61.240002,61.34,59.220001,59.5,58.20055,1856200
3/5/2019,59.759998,59.77,57.619999,57.779999,56.518116,3691900
3/6/2019,57.900002,57.919998,55.830002,55.830002,54.610706,4119000
