name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
atlanta,1/17/17,23.4,11.7,17.2,23.4,11.7,17.2,12.4,75.4,0,0,0,,0,0,37,23.1,167,1021.8,56.8,13.7,102.4,8.8,4,,2017-01-17T07:41:40,2017-01-17T17:54:10,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/18/17,21.3,14.7,17.8,21.3,14.7,17.8,12.2,71.2,0,0,0,,0,0,37.1,19.7,266.3,1019.1,50.7,15.9,122.3,10.6,5,,2017-01-18T07:41:21,2017-01-18T17:55:08,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/19/17,22.8,11.3,16.6,22.8,11.3,16.6,10.5,69.3,4.07,100,8.33,rain,0,0,29.5,16,124.3,1014.9,54.9,15.9,111.3,9.5,4,,2017-01-19T07:41:01,2017-01-19T17:56:06,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/20/17,23,14.6,18.5,23,14.6,18.5,13.9,76.5,6.5,100,8.33,rain,0,0,41.5,22.4,223.2,1009.9,58.3,15.2,133,11.4,6,,2017-01-20T07:40:38,2017-01-20T17:57:04,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/21/17,17.1,13.6,15.4,17.1,13.6,15.4,14,91.4,42.52,100,29.17,rain,0,0,55.4,36.2,117.8,1006.7,73.7,9.6,44.5,3.9,2,,2017-01-21T07:40:14,2017-01-21T17:58:02,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/22/17,16.5,10.2,14,16.5,10.2,14,12.6,91.3,16.21,100,37.5,rain,0,0,60.9,26,145.4,996.3,84.2,12.4,96.6,8.3,6,,2017-01-22T07:39:48,2017-01-22T17:59:01,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/23/17,12.9,8.7,10.7,12.9,6.7,9.6,7.6,81.7,7.38,100,29.17,rain,0,0,50.6,35.8,284,995.6,81.3,13.6,82.4,7.1,4,,2017-01-23T07:39:20,2017-01-23T17:59:59,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/24/17,15.8,7,10.4,15.8,4.2,8.8,3.3,63.5,0,0,0,,0,0,46.5,24.6,312.1,1009.9,42.4,16,172.7,15,7,,2017-01-24T07:38:51,2017-01-24T18:00:58,0.95,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/25/17,21.3,3.7,12.3,21.3,3.7,12.3,4.4,62.9,0,0,0,,0,0,38.9,19.2,208.8,1011.3,16.7,15.9,142.7,12.3,6,,2017-01-25T07:38:20,2017-01-25T18:01:57,0.97,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/26/17,16.9,6.2,12.1,16.9,3.2,11.4,2.7,55.6,2.86,100,12.5,rain,0,0,46.5,32.3,282.3,1012.4,39.4,15.8,172.2,14.9,7,,2017-01-26T07:37:47,2017-01-26T18:02:56,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,1/27/17,7.9,1.1,4.2,4.1,-3.1,0.6,-3.6,58,0,0,0,,0,0,40.8,28.2,288,1018.1,31.4,16,165.6,14.3,7,,2017-01-27T07:37:12,2017-01-27T18:03:55,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219653863,72219503888,KPDK"
atlanta,1/28/17,11.2,0,5.2,11.2,-4.5,2.2,-6.4,46.4,0,0,0,,0,0,38.2,25.8,267.2,1017.4,26.1,16,183,15.8,7,,2017-01-28T07:36:36,2017-01-28T18:04:54,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219653863,72219503888,KPDK"
atlanta,1/29/17,10.2,0.2,5.7,10.2,-3.6,2.6,-3.8,51.4,0,0,0,,0,0,50,29.5,257.1,1014.5,38.8,16,154.9,13.3,6,,2017-01-29T07:35:59,2017-01-29T18:05:53,0.01,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72219013874,KATL,72219653863,KPDK"
atlanta,1/30/17,12.9,0.2,6.5,12.9,-4,4.4,-3.3,51.6,0,0,0,,0,0,38.9,26.2,274.2,1018.9,12.5,16,182.3,15.8,7,,2017-01-30T07:35:19,2017-01-30T18:06:52,0.03,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219653863,72219503888,KPDK"
atlanta,1/31/17,22.3,5.1,12.7,22.3,2,11.6,0.4,47.8,0,0,0,,0,0,37.8,23.4,230.5,1017.6,14.8,16,176.4,15.3,7,,2017-01-31T07:34:38,2017-01-31T18:07:51,0.07,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/1/17,20.7,9.3,14.9,20.7,7.7,14.8,6.4,58.4,0,0,0,,0,0,40.7,25.3,237.4,1019,31,16,173.5,14.9,7,,2017-02-01T07:33:56,2017-02-01T18:08:50,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/2/17,20.2,9.8,13,20.2,7.4,12.9,8.1,72.4,0.3,100,8.33,rain,0,0,,20.9,275.2,1021.2,38.8,15.7,147.9,12.7,6,,2017-02-02T07:33:12,2017-02-02T18:09:49,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72219013874,KATL,72219653863,KPDK"
atlanta,2/3/17,12.6,2.6,8.3,12.6,-2,6.2,-1,55.9,0.62,100,8.33,rain,0,0,42.9,29.5,312.2,1023.2,53.5,15.9,150.4,12.9,6,,2017-02-03T07:32:27,2017-02-03T18:10:47,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72219013874,KATL,72219653863,KPDK"
atlanta,2/4/17,9,-1,3.8,7.3,-5.4,0.8,-12.5,30.9,0,0,0,,0,0,35.3,20.6,143.2,1028.4,39.9,16,192.3,16.6,7,,2017-02-04T07:31:40,2017-02-04T18:11:46,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72219013874,KATL,72219653863,KPDK"
atlanta,2/5/17,11,1.7,6.6,11,1,5.5,1.5,72.4,2.05,100,20.83,"rain,snow",0,0,,17.4,190.4,1023.5,81.7,14.4,94.4,8.1,4,,2017-02-05T07:30:52,2017-02-05T18:12:44,0.33,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"72219013874,KATL,72219653863,KPDK"
atlanta,2/6/17,19.4,6.8,12.1,19.4,5.1,11.7,9.1,82.7,0.07,100,4.17,rain,0,0,,12.3,241.8,1021.2,58.2,14,110.3,9.3,5,,2017-02-06T07:30:02,2017-02-06T18:13:41,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KFTY,72219013874,KATL,72219653863,72219503888,KPDK"
atlanta,2/7/17,18.9,10.5,14.1,18.9,10.5,14.1,11.6,85.6,14.13,100,33.33,rain,0,0,40.7,23.3,170,1013.3,64.4,12.2,75.5,6.5,4,,2017-02-07T07:29:11,2017-02-07T18:14:39,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/8/17,18.7,12.7,15.1,18.7,12.7,15.1,13.7,91.4,0,0,0,,0,0,,16,225.1,1008.3,72.8,10.6,146.6,12.5,7,,2017-02-08T07:28:18,2017-02-08T18:15:36,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/9/17,17.8,2.9,7.7,17.8,-0.5,4.4,-0.5,57.9,5.33,100,8.33,rain,0,0,59.4,37.8,315.2,1019.3,41.5,15.6,200,17.3,7,,2017-02-09T07:27:25,2017-02-09T18:16:33,0.49,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/10/17,17.1,-1.1,7.6,17.1,-3.3,6.8,-7.9,36.9,0,0,0,,0,0,25.9,17.3,223.6,1027.9,16.5,16,201.9,17.4,7,,2017-02-10T07:26:29,2017-02-10T18:17:30,0.5,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/11/17,20.4,6.6,14.1,20.4,4.8,13.6,7.7,65.5,0,0,0,,0,0,35.3,19.8,229.6,1022,72.4,15.9,182.6,15.7,7,,2017-02-11T07:25:33,2017-02-11T18:18:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/12/17,22.3,16,19.3,22.3,16,19.3,15.4,78.5,0.31,100,4.17,rain,0,0,46.4,26.5,244.9,1018,83.3,15.3,142.5,12.4,5,,2017-02-12T07:24:36,2017-02-12T18:19:23,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/13/17,18.2,6.5,12.2,18.2,3.9,11.5,-3.3,36.7,0,0,0,,0,0,42,24.2,323.5,1020.3,12.6,16,210.4,18.1,8,,2017-02-13T07:23:37,2017-02-13T18:20:19,0.53,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/14/17,20.9,2,11.7,20.9,2,11.7,-3.7,38.3,0,0,0,,0,0,,12.3,222,1013.9,34.6,16,197.5,17,7,,2017-02-14T07:22:37,2017-02-14T18:21:14,0.56,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/15/17,14.7,7,11.4,14.7,3.4,10.5,2.5,57.1,7.84,100,16.67,rain,0,0,61.2,33.2,264.8,1006.3,44.1,15.1,189.3,16.4,7,,2017-02-15T07:21:36,2017-02-15T18:22:09,0.61,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/16/17,14.5,1.9,7.9,14.5,-1.2,6.2,-6.2,38.7,0.87,100,4.17,"rain,snow",0,0,33.5,25.5,304,1015.9,5.3,16,217,18.7,8,,2017-02-16T07:20:34,2017-02-16T18:23:04,0.65,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/17/17,20.4,3.1,11.7,20.4,1.5,11.2,-2.9,39.6,0,0,0,,0,0,25.9,18.5,265.7,1016.6,13.6,16,214.5,18.7,8,,2017-02-17T07:19:30,2017-02-17T18:23:59,0.69,Clear,Clear conditions throughout the day.,clear-day,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
atlanta,2/18/17,15.6,8.7,11.7,15.6,8.6,11.6,5.7,67.7,2.29,100,16.67,rain,0,0,,14.5,124.4,1014.8,62.1,15.1,60.9,5.4,3,,2017-02-18T07:18:26,2017-02-18T18:24:53,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"KFTY,72219013874,KATL,72219503888,72219653863,KPDK"
