date,open,high,low,close,adj_close,volume
1/2/2019,81.690002,84.290001,81.410004,84.18,84.18,2973400
1/3/2019,83.260002,83.260002,78.379997,80,80,6426200
1/4/2019,80.879997,83.949997,80.769997,82.68,82.68,3808300
1/7/2019,82.57,83.919998,81.449997,83.230003,83.230003,2653000
1/8/2019,83.300003,84.620003,81.889999,82.379997,82.379997,3910000
1/9/2019,81.230003,83.919998,81.230003,83.760002,83.760002,5332600
1/10/2019,80.730003,81.790001,77.389999,81.370003,81.370003,7376200
1/11/2019,80.68,80.970001,79.230003,80.07,80.07,4325300
1/14/2019,79.279999,80.389999,78.68,79.910004,79.910004,3951200
1/15/2019,80.589996,82.099998,80,81.199997,81.199997,5971900
1/16/2019,86.849998,87.75,85.559998,86.360001,86.360001,10840600
1/17/2019,86.650002,87.260002,85.529999,86.739998,86.739998,3571300
1/18/2019,87.139999,87.190002,85.550003,85.589996,85.589996,3797600
1/22/2019,85.370003,85.410004,82.889999,83.339996,83.339996,3776300
1/23/2019,83.699997,84.959999,82.629997,82.879997,82.879997,3916500
1/24/2019,84.5,85.690002,83.720001,84.029999,84.029999,4740300
1/25/2019,84.699997,85.169998,83.550003,84.139999,84.139999,4745100
1/28/2019,83.169998,85.199997,83.099998,84.599998,84.599998,2762400
1/29/2019,84.699997,85.760002,84.599998,85.669998,85.669998,2273900
1/30/2019,85.900002,87.970001,85.550003,87.470001,87.470001,2541300
1/31/2019,87.559998,88.150002,86.790001,87.269997,87.269997,3762700
2/1/2019,87.209999,88.57,87.169998,87.489998,87.489998,1824200
2/4/2019,87.470001,88.629997,87.279999,88.620003,88.620003,2377400
2/5/2019,88.720001,89.82,88.620003,89.459999,89.459999,3083700
2/6/2019,89.139999,89.879997,88.410004,89.75,89.75,2205400
2/7/2019,89.330002,89.839996,87.669998,87.860001,87.860001,3165300
2/8/2019,87.339996,88.190002,86.660004,88.169998,88.169998,2197500
2/11/2019,88.860001,89.449997,88.169998,89.150002,89.150002,2348900
2/12/2019,89.889999,90.269997,87.879997,87.970001,87.970001,2798500
2/13/2019,88.279999,88.900002,87.940002,88.580002,88.580002,3680100
2/14/2019,88.269997,88.739998,87.5,88.150002,88.150002,1482600
2/15/2019,89.349998,89.349998,88.110001,88.309998,88.309998,2230300
2/19/2019,87.870003,89.82,87.82,89.239998,89.239998,2224200
2/20/2019,88.279999,89.239998,87.290001,88.5,88.5,3151000
2/21/2019,88.370003,89.449997,88.25,88.839996,88.839996,2132500
2/22/2019,88.940002,89.650002,88.650002,89.43,89.43,1907600
2/25/2019,90.050003,90.599998,89.379997,89.580002,89.580002,2395000
2/26/2019,89.57,90.93,89.040001,89.529999,89.529999,4089400
2/27/2019,88.919998,89.260002,86.839996,87.599998,87.599998,2466700
2/28/2019,87.900002,88.699997,87.220001,87.809998,87.809998,2300000
3/1/2019,88.459999,88.620003,85.370003,86.919998,86.919998,3699400
3/4/2019,87.099998,87.239998,83.269997,84.309998,84.309998,4094500
3/5/2019,84.639999,85.720001,83.82,85.050003,85.050003,2848200
3/6/2019,84.889999,85.68,84.269997,84.330002,84.330002,2544100
3/7/2019,83.980003,84.199997,81.949997,82.610001,82.610001,4565700
3/8/2019,81.989998,82.900002,81.620003,82.400002,82.400002,2316800
3/11/2019,81.940002,82.529999,81.739998,82.379997,82.379997,5140500
3/12/2019,82.669998,82.910004,79.589996,79.849998,79.849998,6055300
3/13/2019,80.5,81.400002,79.879997,81.209999,81.209999,3450300
3/14/2019,81.199997,82.059998,81.089996,81.489998,81.489998,1816200
3/15/2019,81.760002,82.480003,81.379997,81.690002,81.690002,4860300
3/18/2019,81.389999,81.739998,80.5,80.730003,80.730003,2780200
3/19/2019,80.93,81.860001,80.75,81.339996,81.339996,2390400
3/20/2019,81.18,81.400002,79.790001,79.830002,79.830002,4660700
3/21/2019,80.290001,81.459999,79.690002,81,81,2330500
3/22/2019,80.639999,80.769997,78.75,79.629997,79.629997,3160000
3/25/2019,79.68,80.010002,78.089996,78.120003,78.120003,4731400
3/26/2019,78.459999,78.82,77.019997,77.489998,77.489998,3061400
3/27/2019,77.540001,79.57,77.5,78.529999,78.529999,2371500
3/28/2019,78.989998,79.290001,77.779999,78.599998,78.599998,1563100
3/29/2019,79.050003,80.050003,78.580002,79.779999,79.779999,2449900
4/1/2019,80.209999,81.690002,79.559998,80.870003,80.870003,2723200
4/2/2019,83.190002,85.099998,82.339996,82.769997,82.769997,3795100
4/3/2019,83.25,84.919998,83.099998,84.199997,84.199997,4047800
4/4/2019,84.510002,85.269997,83.540001,84.639999,84.639999,1748400
4/5/2019,84.949997,85.75,84.519997,84.910004,84.910004,3018100
4/8/2019,84.599998,85.120003,83.800003,84.580002,84.580002,1853000
4/9/2019,84.089996,84.639999,83.459999,84.25,84.25,2016700
4/10/2019,85.330002,85.550003,83.610001,84.519997,84.519997,3547300
4/11/2019,84.559998,86.419998,84.559998,85.75,85.75,2570200
4/12/2019,86.190002,86.5,85.300003,85.489998,85.489998,4507500
4/15/2019,85.309998,85.43,84.080002,84.519997,84.519997,2324200
4/16/2019,84.809998,85.669998,84.389999,85.169998,85.169998,3747800
4/17/2019,87.940002,89.730003,87.290001,89.239998,89.239998,6963700
4/18/2019,89.669998,89.809998,87.459999,88.279999,88.279999,3508300
