name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Dallas,1/18/17,12.0,8.5,10.0,12.0,6.2,9.1,8.7,91.5,7.73,100,25.0,rain,0.0,0.0,,15.2,176.2,1018.2,88.8,11.0,62.0,5.4,3,,2017-01-18T07:28:53,2017-01-18T17:46:51,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KDAL,72259903971,72258013960"
Dallas,1/19/17,18.1,9.4,13.0,18.1,8.1,12.8,10.0,82.9,0.0,0,0.0,,0.0,0.0,29.5,27.0,183.3,1007.8,59.0,13.3,156.3,13.5,6,,2017-01-19T07:28:34,2017-01-19T17:47:47,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/20/17,24.2,11.3,16.8,24.2,11.3,16.8,5.1,49.9,0.0,0,0.0,,0.0,0.0,,15.8,210.6,1003.3,28.8,15.9,135.6,11.7,5,,2017-01-20T07:28:13,2017-01-20T17:48:44,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/21/17,21.0,10.4,15.2,21.0,10.4,15.2,10.7,75.7,3.02,100,8.33,rain,0.0,0.0,79.6,22.4,166.4,998.8,47.5,15.7,120.4,10.3,6,,2017-01-21T07:27:50,2017-01-21T17:49:40,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KDAL,72259903971,72258013960"
Dallas,1/22/17,18.4,11.0,13.9,18.4,11.0,13.9,3.4,50.2,0.0,0,0.0,,0.0,0.0,72.2,50.4,295.6,1002.7,37.7,16.0,138.5,12.0,6,,2017-01-22T07:27:26,2017-01-22T17:50:37,0.87,Partially cloudy,Partly cloudy throughout the day.,wind,"KDAL,72259903971,72258013960"
Dallas,1/23/17,19.4,5.4,12.3,19.4,3.6,11.7,1.2,49.5,0.0,0,0.0,,0.0,0.0,,21.2,210.3,1012.3,7.1,16.0,175.8,15.3,7,,2017-01-23T07:27:00,2017-01-23T17:51:34,0.91,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,1/24/17,26.5,10.5,18.3,26.5,10.5,18.3,7.7,51.6,0.0,0,0.0,,0.0,0.0,38.9,22.8,162.3,1003.8,62.8,16.0,162.3,14.1,6,,2017-01-24T07:26:32,2017-01-24T17:52:31,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/25/17,18.6,6.0,11.0,18.6,4.0,10.2,-0.8,44.5,0.0,0,0.0,,0.0,0.0,42.5,32.2,323.0,1013.5,49.7,16.0,163.0,14.1,7,,2017-01-25T07:26:03,2017-01-25T17:53:29,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/26/17,11.0,1.2,6.0,11.0,-1.9,4.3,-4.7,48.7,0.0,0,0.0,,0.0,0.0,25.9,20.9,323.1,1025.0,11.5,16.0,184.7,15.8,7,,2017-01-26T07:25:31,2017-01-26T17:54:26,0.99,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,1/27/17,13.4,1.0,6.8,13.4,-1.5,5.9,-6.4,43.7,0.0,0,0.0,,0.0,0.0,44.6,22.8,315.9,1027.1,27.7,16.0,183.9,15.9,7,,2017-01-27T07:24:59,2017-01-27T17:55:23,1.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,1/28/17,14.1,3.5,8.2,14.1,0.2,6.9,-4.5,41.1,0.0,0,0.0,,0.0,0.0,31.7,22.3,293.7,1025.0,15.9,16.0,186.6,16.0,7,,2017-01-28T07:24:24,2017-01-28T17:56:21,0.0,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,1/29/17,20.0,5.8,12.2,20.0,2.9,11.3,-3.0,36.2,0.0,0,0.0,,0.0,0.0,42.5,25.3,286.2,1023.3,8.9,16.0,186.0,15.9,7,,2017-01-29T07:23:48,2017-01-29T17:57:18,0.01,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,1/30/17,24.5,7.2,15.9,24.5,7.2,15.9,-2.7,30.8,0.0,0,0.0,,0.0,0.0,,12.0,251.0,1019.5,8.9,15.9,187.4,16.2,7,,2017-01-30T07:23:11,2017-01-30T17:58:15,0.03,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,1/31/17,25.7,10.6,17.8,25.7,10.6,17.8,-1.1,29.2,0.0,0,0.0,,0.0,0.0,37.1,22.0,201.2,1014.0,18.6,15.8,190.3,16.3,7,,2017-01-31T07:22:32,2017-01-31T17:59:12,0.07,Clear,Clear conditions throughout the day.,clear-day,"KDAL,72259903971,72258013960"
Dallas,2/1/17,26.0,12.7,18.3,26.0,12.7,18.3,7.2,51.4,0.0,0,0.0,,0.0,0.0,35.3,25.3,225.0,1012.6,29.1,16.0,189.2,16.3,7,,2017-02-01T07:21:51,2017-02-01T18:00:09,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/2/17,12.7,6.6,8.5,12.7,3.0,5.9,-1.3,50.2,0.0,0,0.0,,0.0,0.0,38.9,28.1,306.8,1024.3,73.4,16.0,99.9,8.7,4,,2017-02-02T07:21:09,2017-02-02T18:01:05,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/3/17,11.6,5.5,8.1,11.6,2.3,6.2,-2.1,48.8,0.0,0,0.0,,0.0,0.0,37.1,18.0,119.6,1029.2,81.4,16.0,183.6,15.9,7,,2017-02-03T07:20:26,2017-02-03T18:02:02,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/4/17,11.5,7.1,9.3,11.5,4.3,7.5,0.6,55.2,0.0,0,0.0,,0.0,0.0,,24.2,150.2,1023.7,96.5,15.8,109.6,9.6,4,,2017-02-04T07:19:41,2017-02-04T18:02:58,0.27,Overcast,Cloudy skies throughout the day.,cloudy,"KDAL,72259903971,72258013960"
Dallas,2/5/17,24.6,9.7,16.1,24.6,7.9,15.8,11.5,75.6,0.0,0,0.0,,0.0,0.0,37.1,22.7,162.7,1016.3,69.6,12.0,147.0,12.6,5,,2017-02-05T07:18:54,2017-02-05T18:03:54,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/6/17,26.2,19.4,22.5,26.2,19.4,22.5,17.1,72.4,0.0,0,0.0,,0.0,0.0,49.9,31.0,187.3,1009.6,72.9,15.0,115.2,9.9,5,,2017-02-06T07:18:07,2017-02-06T18:04:50,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/7/17,26.0,16.3,21.2,26.0,16.3,21.2,6.8,45.1,0.0,0,0.0,,0.0,0.0,42.2,23.7,220.3,1005.7,44.0,16.0,199.4,17.2,7,,2017-02-07T07:17:18,2017-02-07T18:05:46,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
Dallas,2/8/17,20.6,8.9,16.0,20.6,5.8,15.8,1.7,38.4,0.0,0,0.0,,0.0,0.0,55.9,38.9,257.2,1010.5,46.8,16.0,192.7,16.7,7,,2017-02-08T07:16:27,2017-02-08T18:06:41,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDAL,72259903971,72258013960"
